message
Komplu ilqaqu....ghax ghalhekk tajbin..
Nahseb mhux al kulhadd l stess
"NOTHING about this on the local papers.....Maltese authorities finally arrived on scene during the night and took the 180 to shore. Maltese helicopter evacuating a person for medical reasons and five family members from the Sea-Watch 3... or is this considered ""hate speech"".....https://thecivilfleet.wordpress.com/2021/08/03/more-than-800-refugees-on-two-rescue-ships-wait-for-authorities-to-allow-them-to-come-ashore/"
mela min fotta il poplu kemm haqqu
lol coming from a news portal that encourages hate speech towards the opposition and anyone they dislike..
"How  can we bring  those people  in  when we have  a lot  of  our people  homeless ,,,Malta  is  a small  island  and  we already   have  a lot  of foreigners   so  we are  over  loaded,,,,,,,"
U zgur!!!! Ghax min hu kapaci jghid il verita npatuwilu. Ara min jidhaq bil-poplu dawk ok ghax ghandom skola u jafu kif jaghdu in between. Imma nfakarkom ta....akbar mil-qorti hemm Alla u ruhkom....ghada pitghada li titmelhu bil-poplu minn taht kolha tpatuh.
Kurt Cgfar WHAT 
Jekk xi hadd jghidli gahan dik mibeghda  ?? 
Jekk timxu ma' kulhadd bl-istess kejl ma fiha xejn hazin. Imma trid ittella' tliet kwarti tan-nies kollha li juzaw is-social media.
Carmen Dimech Fenech not to mention the foreign criminals
"U xinhu jikkawza dan kollu? Gvern passiv, prim ministru jitwerwer mil eu u awtoritajiet li tippretendi li malti jaqla go fih min ghand barrani u jrid izomm halqu mghaluq! Mhux ahjar tirrangaw dawn il problemi li qedin jinqalghu mil kriminali barranin l ewwel u mhux imbilli qedin tressqu in nies il qorti? Possibli li il gvern u awtoritajiet mhumiex jindunaw (jew ghal taparsi mhumiex jindunaw) li l integrazjoni sfurzata mhijiex tirnexxi? U b dan il mod ha jibqghu jiggravaw il problemi? Jafu kemm il maltin qedin nigu fastidjati u provokati mil barranin? Biex ma nsemmux kemm gew attakkati anzani, nies ghal affari tahhom fuq xogholom, u tfajliet? U kemm rajna swat, serq, qtil, sgassar fi propjeta, vandalizmu, glied, ksuhat, skieken, sparar u il lista tkompli... U min qed jipprotegina lilna l maltin? HADD!!! Mela allura tridu tifmuha li ahna lil dawn l imbarazz kriminali ma rriduhx jigri mghana?"
Pn telghu mela
Bilmoddd mhux dejjem ghaz zghar il ligijiet!!
Hemm hafna Min Tal pn Mela jekk ma joqodux attenti x'jiktbu
Gol parliament kullhad jghid li irid imma jekk isir Barra issib ruhek arrestat. Tajba u tahraq. Kemm Ahna fqar minn mohhna.
Din issa harget  mela ???ghax hawn min ihossu l- KING  U QUEEN BIL- HATED SPEECH U QATT MIL- AWTORITA ' MA HADRT PASSI IMBGHAD DARBA DAQSXEJN TA GUVNOTT KITEB XI HAGA LI GIETU F'RASU TA DAK IL- HIN U GHAMILU TEATRIN BIH !!! JEKK TOHROG LIGI ANKE JEKK THOSSOK IL-FUQ MIN ALLA UKOLL GHANDEK TIEHU LI HAQQEK GHAX SUPPOST JEKK NIMXU BIR- RIGA  MA KULLHADD MIS- SEMA L- ISFEL KULHADD L- ISTESS U MHUX SKOND MIN INT U LIL MIN TAF !!!
"hu mijn jipprova joqtonna bill guh xhaqqu,hu it tradituwri,hu dawk li jipprovaw jaqalaw lin kwiet fi toroq , hu xerdu mart .intuwom midalalja."
Kurt Cgfar  Who are you kidding. Playing the angelic innocent victims are we? There is no smoke without fire and in Malta its the constant provocation by those who should know better that are at fault. 
Allura fuq il media jistu ghidu jew jiktbu hate speech? Jew is sahnu lin nies?
halina one gahan..
.b
"The news we all wanted to hear. No really One, nothing else to report ghax ""kollox fuq ir-rubini"" promise. 🤣🤣"
Do you blame them after our Politicians had fu**** Malta. 🇲🇹 🇲🇹
mela messu ghanies il habs ghax in nazjunalisti dejjem jajhru lil laburisti bxij isem vulgari imma il ligi ghaz zighr qeda

Hela ta hin
PROSIT
Proset...halluwom jifgaw f demmom
Prosit....hallihom ha jinkaljaw
Prosit

Oppozizzjoni! U veracoppozzizjoni ghax kollox iridu jopponu. Xejn ta' sugu.
Tijhom ang thallijhomx b'xejn
Hekk ghandu jkun mr speaker injorom.
Proset ghax dardru l alla li halaqom
Bold personality. Well done. 
Ma jaqbillux uxx miskin
Donatella Rocco   Ghax qazzuh f'lahhar il mutetti tal PN.

Prosett Mr speaker. Int baqa  b tat tiegiga  ghax issa  sirna  l ghaqa ta kull ma jedulna 👏👏👏
Proset
Prosrt !
Donatella Rocco  mutetti wehedkom! Azzistu lil kulhadd!....malta triduhom taghkom...No Way.. . 
Prosit Dr. Speaker
Prosit tajjeb ghamilt
👍
Proset Mr Spiker dawn minuma biex jadattaw xi sir qiedin opozizjoni.
Well done Speaker

Carmen Ary Busuttil mhuc ta b xejn nibqaw lura ghax ghajjarkom gahan u tibqghu kuntenti . Pajjiz korott

"Liar , Liar.. "
IL BEATU GIDDIEB
Mela dak jaf jigdeb u morru l hemm😁😆
Min jaf x kien fihom !
Dak mux lewwel darba gidid Bix I qeda bi kristu  jasal Al kollox ax Mar ma zejza u il mara em haha
Dan prim giddieb Jason
Mhux kullhad jaf li u gidieb
Ahna mux jek jigdibx iridu nkunu nafu. Meta se jibdew jehlu xi haga mux taghna bis jirezenjaw
SKUZI TA... IMMA DAN KIF KIEN JAF LI HEMM XI NUQQAS ....ALLURA MHUX INKJESTA MHAWRA
Paroli biss. Qumu  min hemm
Mela jason gidieb 🤯😁😂
Biex ghamel Dak li ghamel lil martu jasal li jaghmel kollox.🤬🤬🤬
Dak Vergni


U x'passi ser jittiehdu? Meta ha nitolbu b-serjatà ir-rezenja tieghu? Ahna paroli biss u hadd ma jiehu passi.
Moru tnejku. Jason kien għadu u jibqa jamel li jrid u għal ġihna qedin fil gvern aħna aħseb u ghara ikunu fil gvern huma kif ħa jigri se jamel Jason.

Lil Pinocchio difficli tgidbu????..
Il pn u laqdid li awn hadu over min fuq il labour
😀😀



Haluh ghax Dan flok Kristi re


Jinqata dawl qatt ma naqbel mghaha ghax ibati il poplu Malti. Xi htija ghandu il poplu Malti?


MHUX HEKK ... MELA INTOM XI OMNI POTENTI.... BUFFU
Kollox kif jaqbel lihom.
Dawn naha taghhom dejjem tajjeb !

Mhux ovvja jew daw bir raggiera mazula min Alla nnifsu 🤦‍♀️🤦‍♀️
Kif ma jisthux.laqwa li jghidu ghall haddiehor.
Mhux hekk! Kulhadd jghogbu l-pulizija wara bieb haddiehor
Aqlawlom ghawwarom lil dawn u tifqux
Iss hey! Haqqom mela billboard?
Not a problem. Ma kontx nafdawkhom u hekk ha nibqa. Il-hanzir meta taqtalu dembu hanzir jibqa jew jhekk il-far taqtalu dembu ma jisirx hamster 🤣🤣🤣🤣🤣🤣
Mhux hekk 2 wieghts 4 measures il motto tal pn. Bid difetti kolla tal pl nippreferihom ghal dawk il vergni u puri skond huma.
P.N.KOMPLU HAFFRU IL QABAR POLITIKU TAGHKOM !
Insomma nahseb qeghdin kwieti wisq hemm aktar bzonn tirrepetu u xandru IL hbiberija li kellhom mieghu .Huma ma jieqfux .
A la carte !!
"min kollox qedid tamlu ara vera injoranti,iktar tnuzzilkom l isfel. 50000 counting more ta.likbar telfa gejja ghal grieg. ginzi 36000 simin 40000. grieg 50000. ha ha . viva labour 30 years more."
Huma ha ihamgu lil hadd iehor imma lilhom Le
😂😂😂😂😂
Ibqa sejer bi lob tal kliem bernard u ktaxkira izjed tikber flelezjoni.
U mhux hekk mela
U Zgur GHAX MA jaqbkilomx ARA VERA JEKK IL JEMEL JARA HOTOBTU JAQA U JMUT ZOPTU
Mela ghax huma vergni
Meta tkun arroganti u wicc imcappas bil hara bhal tal partit nazzjonalista tasal ghal kollox
Mhux hekk ghax ma jaqblilhomx
Dan il BUFU haseb li qieghed jamell xi loba ta magija now you see it and now you don't. Dabar lill HEMM ma minn tahseb li qieghed titkellem ma bolloh bahu kollok.
Impokriti



Mhux barra  lura pajjizzu ha imut bil guh
Issa dalwaqt jkun barra ghax minflok jitfawhom lura lejn pajjizhom min jikser il lijgi jergaw jitfawhom fit toroq biex jkomplu jaghmlu hsara lil pajjizna
Ehilsu minnhom dawn in nies 
BARRA LEJN PAJJIZU U.MIEGHU L OHRAJN KOLLA ... DAWN ISSALVHOM  . TITMAHHOM... TLIBISSHOM ITIJHOM FEJN JORQDU U JKISSRU JFARKU U JSAWTU LIL MIN KULL MIN JIGI QUDDIEMHOM ... BARRA U.LEJN IL.GUNGLA
Integraw issa.
Piena ta habs u wara lura lejn pajjizu
Bhal pajjizom gabuna. Fhiex wasalna. Tibza tohrog
Lura pajjizu!
Barra..... illum Qabel Ghada
Barra!
"Dawn bil-lejl johorgu, nahseb kull pjazza u bandli bihom mimlijien."
Nina Zahra U aktar jaghmlu mbaghad vendikazzjoni
Iva issa jintegraw dawk gew FL Europa biex jaghamlu li jridu jiddispjacini ghal puluzija taghana
Barra
Soltu storja
XHA JAJT ISSA  FUQ DAZ  ZIBEL  IL  KUNDUTTUR  SKADUT.. ..PROSET  KBIRA  IL  PULUZIJA   U  NISPERA  LI  IS  SINJURI  ORRIF  TAL  QORTI  JAMLU  XOGHOLOM  SEW   DID  DARBA
Dak sa ma jitegra ftit ohra miskin ghax harab mil gwerra jahsara.
Dak kin ilu jkisser karozzi san pawl 👿
Emma Galea jitantaw in niesa 👿
Grazzi talli qet thalsuna il penzjoni
Anna Darmanin jiddispjacik aktar ghal uliedna u ghal uliedhom ax dan ghadu l bidu.
Qorti tan nejk u parlament bla bajd.
next !!!!
Imma din veru li ma nistawx jintbaghad lura go pajjizu????????
Min jikser il ligi barra pajjizu specjalment ikun nigerjan ghax m hemmx gwerrer. Kollu tort tsl eu ghax ma taghmikx restrizxjonijiet fuq il kapijiet.


Tar-republika regghu waqu ghan-nejk.Possibbli KA ma qallux lil huh b'dal-ftehim hallih jaqa ghan-nejk.
u tar republika argaw waqa az zufjet ek biss tajba biex jzufjetaw bibjoml poplu 



ARA KERGHUX IMARDU LID DINJA
Apik li joholqu xi pandemija ohra tghid? Jew biex taparsi jilghabuha tal-vitma. Min se jemminhom ikun l-akbar bahnan! Dawn rispett ghal-hajja m' ghandhomx l-anqas ta' nieshom stess ahseb u ara meta se jispicaw jidominaw id-dinja ekonomikament u wara f' kul aspett. Il-punent specjalment l-ewropa bla bocci u tilghaq biss tista u l-amerika giet bla snien! Issa l-waqt l-cina tahtaf lil Taiwan u taghmel aghar milli ghamlet f'Hong Kong!
Censu Balal min jafdhom ikun jaf!
Malta ghanda taghmel.listess hali ma nibqawx inkaxkru bhal ma talbu jmorru nies al injection hekk ghandu jkun al swab test
Jekk Vera mill friefet IL lejl iridu jigu projbiti li jaqbduhom Jew jikluhom
Imma meta bdiet bqajtu siekta u fqajtu id finja ghax haloejtu lil niskhom issifru u jimpestaw. Issa gawdu maghna ghax din haddum mid dehra
