"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"1667361013558888_2359132287715087/1667361013558888_2359132287715087","1855","317","1","1667361013558888_2359132287715087","data","data.*","fetched (200)","2021-10-08 09:30:35.713494","Facebook:/<post-id>/comments","Bravu !","2020-06-23T15:20:57+0000","0","0",""
"1667361013558888_2359132287715087/1667361013558888_2359132287715087","1856","317","1","1667361013558888_2359132287715087","data","data.*","fetched (200)","2021-10-08 09:30:35.713494","Facebook:/<post-id>/comments","Bravu hi","2020-06-23T15:24:16+0000","0","0",""
"1667361013558888_2359132287715087/1667361013558888_2359132287715087","1857","317","1","1667361013558888_2359132287715087","data","data.*","fetched (200)","2021-10-08 09:30:35.713494","Facebook:/<post-id>/comments","So proud of you dear son xx","2020-06-23T16:53:35+0000","0","0",""
"1667361013558888_2359132287715087/1667361013558888_2359132287715087","1858","317","1","1667361013558888_2359132287715087","data","data.*","fetched (200)","2021-10-08 09:30:35.713494","Facebook:/<post-id>/comments","","2020-06-23T17:32:36+0000","0","0",""
"1667361013558888_2359132287715087/1667361013558888_2359132287715087","1859","317","1","1667361013558888_2359132287715087","data","data.*","fetched (200)","2021-10-08 09:30:35.713494","Facebook:/<post-id>/comments","Bravu gabriel god bless you sabih xxx","2020-06-23T20:14:28+0000","0","0",""
"1667361013558888_2359132287715087/1667361013558888_2359132287715087","1860","317","1","1667361013558888_2359132287715087","data","data.*","fetched (200)","2021-10-08 09:30:35.713494","Facebook:/<post-id>/comments","Nanna is so proud of you.Bravu Gabriel","2020-06-24T11:51:55+0000","0","0",""
"1667361013558888_2359132287715087/1667361013558888_2359132287715087","1861","317","1","1667361013558888_2359132287715087","data","data.*","fetched (200)","2021-10-08 09:30:35.713494","Facebook:/<post-id>/comments","Verygood","2020-06-24T15:04:52+0000","1","0",""
"1667361013558888_2359132287715087/1667361013558888_2359132287715087","1862","317","1","1667361013558888_2359132287715087","offcut","","fetched (200)","2021-10-08 09:30:35.713494","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2358133774481605","318","None","0","1667361013558888_2358133774481605","seed","","","None","None","","","","",""
"1667361013558888_2358133774481605/1667361013558888_2358133774481605","1863","318","1","1667361013558888_2358133774481605","empty","","fetched (200)","2021-10-08 09:30:36.132828","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2358129771148672","319","None","0","1667361013558888_2358129771148672","seed","","","None","None","","","","",""
"1667361013558888_2358129771148672/1667361013558888_2358129771148672","1864","319","1","1667361013558888_2358129771148672","empty","","fetched (200)","2021-10-08 09:30:36.452513","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2358125424482440","320","None","0","1667361013558888_2358125424482440","seed","","","None","None","","","","",""
"1667361013558888_2358125424482440/1667361013558888_2358125424482440","1865","320","1","1667361013558888_2358125424482440","empty","","fetched (200)","2021-10-08 09:30:36.859089","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2358108324484150","321","None","0","1667361013558888_2358108324484150","seed","","","None","None","","","","",""
"1667361013558888_2358108324484150/1667361013558888_2358108324484150","1866","321","1","1667361013558888_2358108324484150","empty","","fetched (200)","2021-10-08 09:30:37.173936","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2357762334518749","322","None","0","1667361013558888_2357762334518749","seed","","","None","None","","","","",""
"1667361013558888_2357762334518749/1667361013558888_2357762334518749","1867","322","1","1667361013558888_2357762334518749","empty","","fetched (200)","2021-10-08 09:30:37.690621","Facebook:/<post-id>/comments","","","","",""
"1667361013558888_2357261594568823","323","None","0","1667361013558888_2357261594568823","seed","","","None","None","","","","",""
"1667361013558888_2357261594568823/1667361013558888_2357261594568823","1868","323","1","1667361013558888_2357261594568823","empty","","fetched (200)","2021-10-08 09:30:38.007488","Facebook:/<post-id>/comments","","","","",""
