"path","id","parent_id","level","object_id","object_type","object_key","query_status","query_time","query_type","message","created_time","like_count","comment_count","error.message"
"293834040785050_1447943265374116/1447943265374116_1447992175369225","221","98","1","1447943265374116_1447992175369225","data","data.*","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","Well done my friends ...","2020-03-13T10:41:41+0000","2","0",""
"293834040785050_1447943265374116/1447943265374116_1447995345368908","222","98","1","1447943265374116_1447995345368908","data","data.*","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","Stay safe Sarah xx","2020-03-13T10:47:56+0000","2","0",""
"293834040785050_1447943265374116/1447943265374116_1447998918701884","223","98","1","1447943265374116_1447998918701884","data","data.*","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","Decizjoni f waqta grazzi taghli qatilna","2020-03-13T10:55:27+0000","2","0",""
"293834040785050_1447943265374116/1447943265374116_1448006162034493","224","98","1","1447943265374116_1448006162034493","data","data.*","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","Well done dear stay safe hope to see you soon♥️","2020-03-13T11:08:43+0000","2","0",""
"293834040785050_1447943265374116/1447943265374116_1448037035364739","225","98","1","1447943265374116_1448037035364739","data","data.*","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","You too stay safe and thank you for your dedicated custom","2020-03-13T12:06:51+0000","2","0",""
"293834040785050_1447943265374116/1447943265374116_1448084822026627","226","98","1","1447943265374116_1448084822026627","data","data.*","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","See you when things get back to normal. You have a well deserved rest now and I'm looking forward to a nice plate of ravioli soon!","2020-03-13T13:11:25+0000","2","0",""
"293834040785050_1447943265374116/1447943265374116_1448095182025591","227","98","1","1447943265374116_1448095182025591","data","data.*","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","Responsable people. Thank you. Stay safe.","2020-03-13T13:27:38+0000","2","0",""
"293834040785050_1447943265374116/1447943265374116_1448156032019506","228","98","1","1447943265374116_1448156032019506","data","data.*","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","YOU TO ","2020-03-13T14:55:16+0000","2","0",""
"293834040785050_1447943265374116/1447943265374116_1448754511959658","229","98","1","1447943265374116_1448754511959658","data","data.*","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","Well said, profit.","2020-03-14T08:05:13+0000","1","0",""
"293834040785050_1447943265374116/1447943265374116_1485909771577465","230","98","1","1447943265374116_1485909771577465","data","data.*","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","Do you sell online ? ","2020-04-25T18:03:14+0000","0","0",""
"293834040785050_1447943265374116/293834040785050_1447943265374116","231","98","1","293834040785050_1447943265374116","offcut","","fetched (200)","2021-08-08 13:35:47.374855","Facebook:/<post-id>/comments","","","","",""
"293834040785050_1427227697445673","99","None","0","293834040785050_1427227697445673","seed","","","None","None","","","","",""
"293834040785050_1427227697445673/1427227697445673_1427230164112093","232","99","1","1427227697445673_1427230164112093","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well done peristyle the best","2020-02-17T19:17:22+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427232370778539","233","99","1","1427227697445673_1427232370778539","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well done","2020-02-17T19:21:22+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427232727445170","234","99","1","1427227697445673_1427232727445170","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Prosit d best 👍👍👍","2020-02-17T19:21:58+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427234120778364","235","99","1","1427227697445673_1427234120778364","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Big well done","2020-02-17T19:24:36+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427234617444981","236","99","1","1427227697445673_1427234617444981","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well done","2020-02-17T19:25:32+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427234727444970","237","99","1","1427227697445673_1427234727444970","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","They are the best for everything","2020-02-17T19:25:47+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427234757444967","238","99","1","1427227697445673_1427234757444967","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Proset","2020-02-17T19:25:50+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427235337444909","239","99","1","1427227697445673_1427235337444909","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well Done ☺️ D Best 😁","2020-02-17T19:27:05+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427239094111200","240","99","1","1427227697445673_1427239094111200","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well done","2020-02-17T19:32:46+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427239974111112","241","99","1","1427227697445673_1427239974111112","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","The best","2020-02-17T19:34:26+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427247070777069","242","99","1","1427227697445673_1427247070777069","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well done Peristyle for me you are the number one","2020-02-17T19:48:11+0000","2","0",""
"293834040785050_1427227697445673/1427227697445673_1427251187443324","243","99","1","1427227697445673_1427251187443324","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Looking forward to taste them again in March when I’m back home","2020-02-17T19:56:27+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427252907443152","244","99","1","1427227697445673_1427252907443152","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well done peristyle , best qassatat","2020-02-17T19:59:52+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427271494107960","245","99","1","1427227697445673_1427271494107960","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","The best","2020-02-17T20:35:09+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427281747440268","246","99","1","1427227697445673_1427281747440268","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","The best .","2020-02-17T20:57:17+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427286617439781","247","99","1","1427227697445673_1427286617439781","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well done to Peristyle Rabat. Mark Sarah Mifsud ,Luke Mifsud , Peter Mifsud your the best","2020-02-17T21:03:46+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427306847437758","248","99","1","1427227697445673_1427306847437758","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well done d Best 👍👍👍","2020-02-17T21:40:13+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427398354095274","249","99","1","1427227697445673_1427398354095274","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Missing the crew Tony and Dorothy from the U.S.","2020-02-18T00:37:41+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427580867410356","250","99","1","1427227697445673_1427580867410356","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","I am sure Dan u San enjoyed eating Peristyle Pastizzi.They are the best.👍🏻😋💖","2020-02-18T05:56:22+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427603777408065","251","99","1","1427227697445673_1427603777408065","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well done my favroite Resturant.","2020-02-18T06:36:42+0000","1","0",""
"293834040785050_1427227697445673/1427227697445673_1427643377404105","252","99","1","1427227697445673_1427643377404105","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","The best well done came from zabbar for pasttizi good and clean peristyle resturant","2020-02-18T07:28:45+0000","0","0",""
"293834040785050_1427227697445673/1427227697445673_1427734340728342","253","99","1","1427227697445673_1427734340728342","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Well done my favorite restaurant","2020-02-18T10:14:39+0000","0","0",""
"293834040785050_1427227697445673/1427227697445673_1427803674054742","254","99","1","1427227697445673_1427803674054742","data","data.*","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","Mark the best.","2020-02-18T11:58:12+0000","1","0",""
"293834040785050_1427227697445673/293834040785050_1427227697445673","255","99","1","293834040785050_1427227697445673","offcut","","fetched (200)","2021-08-08 13:35:47.735297","Facebook:/<post-id>/comments","","","","",""
"293834040785050_1291448271023617","100","None","0","293834040785050_1291448271023617","seed","","","None","None","","","","",""
"293834040785050_1291448271023617/1291448271023617_1291464634355314","256","100","1","1291448271023617_1291464634355314","data","data.*","fetched (200)","2021-08-08 13:35:48.116344","Facebook:/<post-id>/comments","Ftahtli l aptit kemm inhobbhom dawn.Nibdilom ma kollox.","2019-09-29T09:39:05+0000","0","0",""
"293834040785050_1291448271023617/1291448271023617_1291497484352029","257","100","1","1291448271023617_1291497484352029","data","data.*","fetched (200)","2021-08-08 13:35:48.116344","Facebook:/<post-id>/comments","Carvjol ghadni gej bihom","2019-09-29T10:44:46+0000","0","0",""
"293834040785050_1291448271023617/1291448271023617_1291581544343623","258","100","1","1291448271023617_1291581544343623","data","data.*","fetched (200)","2021-08-08 13:35:48.116344","Facebook:/<post-id>/comments","The best food !!!","2019-09-29T13:08:04+0000","0","0",""
"293834040785050_1291448271023617/293834040785050_1291448271023617","259","100","1","293834040785050_1291448271023617","offcut","","fetched (200)","2021-08-08 13:35:48.116344","Facebook:/<post-id>/comments","","","","",""
"293834040785050_1291447147690396","101","None","0","293834040785050_1291447147690396","seed","","","None","None","","","","",""
"293834040785050_1291447147690396/1291447147690396_1291605277674583","260","101","1","1291447147690396_1291605277674583","data","data.*","fetched (200)","2021-08-08 13:35:48.860303","Facebook:/<post-id>/comments","The best","2019-09-29T13:43:16+0000","0","0",""
"293834040785050_1291447147690396/293834040785050_1291447147690396","261","101","1","293834040785050_1291447147690396","offcut","","fetched (200)","2021-08-08 13:35:48.860303","Facebook:/<post-id>/comments","","","","",""
"293834040785050_1280884018746709","102","None","0","293834040785050_1280884018746709","seed","","","None","None","","","","",""
"293834040785050_1280884018746709/293834040785050_1280884018746709","262","102","1","293834040785050_1280884018746709","empty","","fetched (200)","2021-08-08 13:35:49.183961","Facebook:/<post-id>/comments","","","","",""
"293834040785050_1217127538455691","103","None","0","293834040785050_1217127538455691","seed","","","None","None","","","","",""
"293834040785050_1217127538455691/1217127538455691_1217356505099461","263","103","1","1217127538455691_1217356505099461","data","data.*","fetched (200)","2021-08-08 13:35:49.375326","Facebook:/<post-id>/comments","Wowww cu soon","2019-06-22T16:12:54+0000","1","0",""
"293834040785050_1217127538455691/1217127538455691_1225109994324112","264","103","1","1217127538455691_1225109994324112","data","data.*","fetched (200)","2021-08-08 13:35:49.375326","Facebook:/<post-id>/comments","Yummy yummy 😋","2019-07-02T20:45:00+0000","1","0",""
"293834040785050_1217127538455691/1217127538455691_1228995567268888","265","103","1","1217127538455691_1228995567268888","data","data.*","fetched (200)","2021-08-08 13:35:49.375326","Facebook:/<post-id>/comments","Woowww yummyyyy","2019-07-08T13:09:14+0000","0","0",""
"293834040785050_1217127538455691/293834040785050_1217127538455691","266","103","1","293834040785050_1217127538455691","offcut","","fetched (200)","2021-08-08 13:35:49.375326","Facebook:/<post-id>/comments","","","","",""
"293834040785050_1149575511877561","104","None","0","293834040785050_1149575511877561","seed","","","None","None","","","","",""
"293834040785050_1149575511877561/1149575511877561_1149580985210347","267","104","1","1149575511877561_1149580985210347","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","Yuuummmmyyyy","2019-03-19T08:35:34+0000","0","0",""
"293834040785050_1149575511877561/1149575511877561_1149581535210292","268","104","1","1149575511877561_1149581535210292","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","Can you deliver to Melbourne pls? 😛","2019-03-19T08:37:33+0000","0","0",""
"293834040785050_1149575511877561/1149575511877561_1149582015210244","269","104","1","1149575511877561_1149582015210244","data","data.*","fetched (200)","2021-08-08 13:35:49.829542","Facebook:/<post-id>/comments","reserve me some for tonight 🙂","2019-03-19T08:39:30+0000","0","0",""
